Person	Firm	Position
Henri de Castries	Axa	Président Directeur Général
Norbert Dentressangle	Axa	Vice-Président Administrateur Indépendant Référent
Denis Duverne	Axa	Administrateur, Directeur Général Délégué en charge des Finances, de la Stratégie et des Opérations
Jean-Pierre Clamadieu	Axa	Administrateur
Jean-Martin Folz	Axa	Administrateur
Paul Hermelin	Axa	Administrateur
Isabelle Kocher	Axa	Administrateur
Suet Fern Lee	Axa	Administrateur
Stefan Lippe	Axa	Administrateur
François Martineau	Axa	Administrateur
Ramon de Oliveira	Axa	Administrateur
Deanna Oppenheimer	Axa	Administrateur
Doina Palici-Chehab	Axa	Administrateur, représentant les salariés actionnaires
Dominique Reiniche	Axa	Administrateur
Jean Lemierre	BNP Paribas	Président du Conseil d’administration de BNP Paribas
Michel Pébereau	BNP Paribas	Président d'honneur de BNP Paribas
Jean-Laurent Bonnafé	BNP Paribas	Administrateur Directeur Général de BNP Paribas
Monique Cohen	BNP Paribas	Directeur associé d’APAX France
Pierre-André de Chalendar	BNP Paribas	Président – Directeur général de la Compagnie de Saint-Gobain
Marion Guillou	BNP Paribas	Présidente d’Agreenium
Denis Kessler	BNP Paribas	Président – Directeur général de SCOR SE
Jean-François Lepetit	BNP Paribas	Administrateur de sociétés
Nicole Misson	BNP Paribas	Conseillère de clientèle Particuliers
Thierry Mouchard	BNP Paribas	Chargé de fonctions administratives service Transactions clientèle
Laurence Parisot	BNP Paribas	Vice-Présidente du Directoire de Ifop SA
Daniela Schwarzer	BNP Paribas	
Michel Tilmant	BNP Paribas	Gérant de Strafin sprl (Belgique)
Emiel Van Broekhoven	BNP Paribas	Économiste, Professeur honoraire de l'Université d'Anvers (Belgique)
Jane Fields Wicker-Miurin	BNP Paribas	Co-fondatrice et associée chez Leaders' Quest, Londres (Grande-Bretagne)
Denis Ranque	Airbus Group	Président du conseil d’administration
Thomas Enders	Airbus Group	Président exécutif
Manfred Bischoff	Airbus Group	Président du Conseil de surveillance de Daimler AG
Ralph D. Crosby	Airbus Group	Ancien membre des comités de direction d’EADS N.V. et de Northrop Grumman Corporation
Hans-Peter Keitel	Airbus Group	Vice-président de la Fédération des industries allemandes
Hermann-Josef Lamberti	Airbus Group	Ancien membre du directoire de la Deutsche Bank AG
Anne Lauvergeon	Airbus Group	Partenaire d’Efficiency Capital, président-directeur général d’A.L.P.S.A.
Lakshmi N. Mittal	Airbus Group	Président-directeur général d’ArcelorMittal
Sir John Parker	Airbus Group	Président d’Anglo American PLC
Michel Pébereau	Airbus Group	Président honoraire de BNP Paribas
Josep Piqué i Camps	Airbus Group	Président de Pangea XXI Consultora Internacional
Jean-Claude Trichet	Airbus Group	Gouverneur honoraire de la Banque de France
Thierry Desmarest	Total	Président du Conseil d’administration
Patrick Artus	Total	
Patricia Barbizet	Total	
Gunnar Brock	Total	
Charles Keller	Total	Administrateur représentant les actionnaires salariés du Groupe
Marie-Christine Coisne-Roquette	Total	
Bertrand Collomb	Total	
Paul Desmarais, Jr.	Total	
Anne-Marie Idrac	Total	
Barbara Kux	Total	
Gérard Lamarche	Total	
Anne Lauvergeon	Total	
Michel Pébereau	Total	
Vincent Bolloré	Vivendi	Président du Conseil de surveillance
Pierre Rodocanachi	Vivendi	Vice-Président du Conseil de surveillance
Philippe Bénacin	Vivendi	Membre du conseil de surveillance
Nathalie Bricault	Vivendi	Membre du Conseil de surveillance représentant les actionnaires salariés
Pascal Cagni	Vivendi	Membre du conseil de surveillance
Daniel Camus	Vivendi	Membre du Conseil de surveillance
Paulo Cardoso	Vivendi	Membre du Conseil de surveillance représentant les salariés
Yseulys Costes	Vivendi	Membre du Conseil de surveillance
Philippe Donnet	Vivendi	Membre du Conseil de surveillance
Aliza Jabès	Vivendi	Membre du Conseil de surveillance
Alexandre de Juniac	Vivendi	Membre du Conseil de surveillance
Henri Lachmann	Vivendi	Membre du Conseil de surveillance
Virginie Morgon	Vivendi	Membre du Conseil de surveillance
Katie Jacobs Stanton	Vivendi	Membre du conseil de surveillance
Pierre-André de Chalendar	Saint Gobain	Président Directeur Général
Isabelle Bouillot	Saint Gobain	
Alain Destrain	Saint Gobain	
Jean-Martin Folz	Saint Gobain	
Bernard Gautier	Saint Gobain	
Anne-Marie Idrac	Saint Gobain	
Sylvia Jay	Saint Gobain	
Pamela Knapp	Saint Gobain	
Pascal Laï	Saint Gobain	
Agnès Lemarchand	Saint Gobain	
Frédéric Lemoine	Saint Gobain	
Gérard Mestrallet	Saint Gobain	
Jacques Pestre	Saint Gobain	
Olivia Qiu	Saint Gobain	
Denis Ranque	Saint Gobain	
Gilles Schnepp	Saint Gobain	
Jean-Dominique Senard	Saint Gobain	
Philippe Varin	Saint Gobain	
