Movie	Actor	Year released
Charlie's Angels	Cameron Diaz	2001
Charlie's Angels	Drew Barrymore	2001
Charlie's Angels	Lucy Liu	2001
Charlie's Angels	Bill Murray	2001
Charlie's Angels	Sam Rockwell	2001
Charlie's Angels	Kelly Lynch	2001
Groundhog Day	Bill Murray	1993
Groundhog Day	Andie MacDowell	1993
Groundhog Day	Chris Elliott	1993
Groundhog Day	Stephen Tobolowsky	1993
Groundhog Day	Brian Doyle-Murray	1993
Lost in Translation	Scarlett Johansson	2003
Lost in Translation	Bill Murray	2003
The Darjeeling Limited	Owen Wilson	2007
The Darjeeling Limited	Adrien Brody	2007
The Darjeeling Limited	Jason Schwartzman	2007
The Darjeeling Limited	Amara Karan	2007
The Darjeeling Limited	Wallace Wolodarsky	2007
The Darjeeling Limited	Waris Ahluwalia	2007
The Darjeeling Limited	Irrfan Khan	2007
The Darjeeling Limited	Barbet Schroeder	2007
The Darjeeling Limited	Camilla Rutherford	2007
The Darjeeling Limited	Bill Murray	2007
The Darjeeling Limited	Anjelica Huston	2007
The Grand Budapest Hotel	Ralph Fiennes	2014
The Grand Budapest Hotel	F. Murray Abraham	2014
The Grand Budapest Hotel	Mathieu Amalric	2014
The Grand Budapest Hotel	Adrien Brody	2014
The Grand Budapest Hotel	Willem Dafoe	2014
The Grand Budapest Hotel	Jeff Goldblum	2014
The Grand Budapest Hotel	Harvey Keitel	2014
The Grand Budapest Hotel	Jude Law	2014
The Grand Budapest Hotel	Bill Murray	2014
The Grand Budapest Hotel	Edward Norton	2014
The Grand Budapest Hotel	Saoirse Ronan	2014
The Grand Budapest Hotel	Jason Schwartzman	2014
The Grand Budapest Hotel	Léa Seydoux	2014
The Life Aquatic	Bill Murray	2004
The Life Aquatic	Owen Wilson	2004
The Life Aquatic	Cate Blanchett	2004
The Life Aquatic	Anjelica Huston	2004
The Life Aquatic	Willem Dafoe	2004
The Life Aquatic	Jeff Goldblum	2004
The Royal Tenenbaums	Gene Hackman	2001
The Royal Tenenbaums	Anjelica Huston	2001
The Royal Tenenbaums	Ben Stiller	2001
The Royal Tenenbaums	Gwyneth Paltrow	2001
The Royal Tenenbaums	Luke Wilson	2001
The Royal Tenenbaums	Owen Wilson	2001
The Royal Tenenbaums	Bill Murray	2001
The Royal Tenenbaums	Danny Glover	2001
Wild Things	Kevin Bacon	1998
Wild Things	Matt Dillon	1998
Wild Things	Neve Campbell	1998
Wild Things	Theresa Russell	1998
Wild Things	Denise Richards	1998
Wild Things	Daphne Rubin-Vega	1998
Wild Things	Robert Wagner	1998
Wild Things	Bill Murray	1998
